Course_Number,Course_Title,Credit_Hours
CIVILEN 2001,Introduction to Infrastructure,3.00
CIVILEN 2050,Probabilistic Applications and Data Interpretation in Civil and Environmental Engineering,3.00
CIVILEN 2060,Numerical Analysis Methods for Civil and Environmental Engineering Applications,4.00
CIVILEN 2090,Professional Aspects of Civil and Environmental Engineering,1.00
CIVILEN 2193,Individual Studies in Civil Engineering,1.00 - 5.00
CIVILEN 2194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 2405,Computer Graphics for Civil Engineers,1.00
CIVILEN 2410,Introduction to Surveying,3.00
CIVILEN 2810,Construction Engineering and Management: An Introduction,3.00
CIVILEN 3080,Economic Evaluation and Optimization in Civil and Environmental Engineering,3.00
CIVILEN 3130,Fluid Mechanics,3.00
CIVILEN 3160,Water Resources Engineering,3.00
CIVILEN 3310,Structural Engineering Principles,3.00
CIVILEN 3510,Civil Engineering Materials,3.00
CIVILEN 3540,Geotechnical Engineering,2.00
CIVILEN 3541,Geotechnical Engineering Laboratory,1.00
CIVILEN 3700,Transportation Engineering and Analysis,3.00
CIVILEN 4001,Civil Engineering Capstone I,2.00
CIVILEN 4002,Civil Engineering Capstone II,2.00
CIVILEN 4011,Civil Engineering Global Capstone I,2.00
CIVILEN 4012,Civil Engineering Global Capstone II,2.00
CIVILEN 4191.01,Civil Engineering Internship I,1.00
CIVILEN 4191.02,Civil Engineering Internship II,2.00
CIVILEN 4193,Individual Studies in Civil Engineering,1.00 - 5.00
CIVILEN 4194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 4210,The Physics of Sustainable Buildings,3.00
CIVILEN 4310,Structural Analysis,3.00
CIVILEN 4320,Structural Steel Design,3.00
CIVILEN 4340,Behavior of Structural Element,3.00
CIVILEN 4350,Reinforced Concrete Design,3.00
CIVILEN 4552,Design and Construction of Flexible Pavements,3.00
CIVILEN 4800,Project Management in Civil Engineering,3.00
CIVILEN 4998,Undergraduate Research in Civil Engineering,1.00 - 5.00
