Course_Number,Course_Title,Credit_Hours
ECE 2020,Introduction to Analog Systems and Circuits,3.00
ECE 2021,Introduction to Analog Systems and Circuits for Transfer Students Lecture,2.50
ECE 2027,Introduction to Analog Systems and Circuits Lab for Transfer Students,0.50
ECE 2050,Introduction to Discrete Time Signals & Systems,3.00
ECE 2051,Introduction to Discrete Time Signals & Systems Lecture,2.50
ECE 2057,Introduction to Discrete Time Signals & Systems Laboratory,0.50
ECE 2060,Introduction to Digital Logic,3.00
ECE 2061,Introduction to Digital Logic for Transfer Students Lecture,2.50
ECE 2067,Introduction to Digital Logic Lab for Transfer Students,0.50
ECE 2193,Individual Studies in Electrical and Computer Engineering,0.00 - 10.00
ECE 2194.01,Group Studies: Sustainable Energy and Society,0.00 - 6.00
ECE 2194.02,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.03,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.04,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.05,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.06,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.07,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.08,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.09,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.10,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.11,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.12,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.13,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.14,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.15,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.16,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.17,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.18,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.19,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.20,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.21,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.22,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.23,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.24,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2194.25,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 2300,Electrical Circuits and Electronic Devices,3.00
ECE 2301,Electrical Circuits and Electronic Devices Lecture,2.50
ECE 2307,Electrical Circuits and Electronic Devices Laboratory,0.50
ECE 2360,Electronics for CSE majors,3.00
ECE 2560,Introduction to Microcontroller-Based Systems,2.00
ECE 2998.01,Undergraduate Research,0.50 - 3.00
ECE 2998.02,Undergraduate Research,0.50 - 3.00
ECE 3010,Introduction to Radio Frequency and Optical Engineering,3.00
ECE 3020,Introduction to Electronics,3.00
ECE 3027,Electronics Laboratory,1.00
ECE 3030,Semiconductor Electronic Devices,3.00
ECE 3040,Sustainable Energy and Power Systems I,3.00
ECE 3047,Sustainable Energy and Energy Conversion Lab,1.00
ECE 3050,Signals and Systems,3.00
ECE 3090,Technical Writing and Presentations,1.00
ECE 3551,Introduction to Feedback Control Systems,3.00
ECE 3561,Advanced Digital Design,3.00
ECE 3567,Microcontroller Lab,1.00
ECE 3900,Capstone Design I,1.00
ECE 3905,Capstone Design I,3.00
ECE 3906,Capstone Design I,4.00
ECE 4021,Analog Integrated Circuits I,3.00
ECE 4193,Individual Studies in Electrical and Computer Engineering,0.00 - 12.00
ECE 4194.01,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.02,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.03,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.04,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.05,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.06,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.07,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.08,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.09,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.10,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.11,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.12,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.13,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.14,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.15,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.16,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.17,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.18,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.19,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.20,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.21,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.22,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.23,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.24,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4194.25,Group Studies in Electrical and Computer Engineering,0.00 - 6.00
ECE 4567,Design of Mobile Internet-of-Things,4.00
ECE 4900,Capstone Design II,3.00
ECE 4900H,Design II with Honors Thesis Project,3.00
ECE 4905,Capstone Design II,3.00
ECE 4905H,Capstone Design II with Honors Thesis,3.00
ECE 4998.01,Undergraduate Research,0.50 - 3.00
ECE 4998.01H,Undergraduate Honors Research,0.50 - 3.00
ECE 4998.02,Undergraduate Research,0.50 - 3.00
ECE 4999.01,Undergraduate Thesis Research,0.50 - 3.00
ECE 4999.01H,Undergraduate Honors Thesis Research,0.50 - 3.00
ECE 5000,Introduction to Analog and Digital Communications,3.00
ECE 5007,Communications Laboratory,0.50
ECE 5010,Wireless Propagation and Remote Sensing,3.00
ECE 5011,Antennas,3.00
ECE 5012,Integrated Optics,3.00
ECE 5013,Introduction to Radar Systems,3.00
ECE 5017,Microwave Engineering,4.00
ECE 5020,Mixed Signal VLSI,3.00
ECE 5021,Analog Integrated Circuits II,3.00
ECE 5022,Introduction to RF Systems,3.00
ECE 5023,Fundamentals of Integrated Data Converters,3.00
ECE 5025,"Power Electronics: Devices, Circuits, and Applications",3.00
ECE 5027,Microwave Electronics,4.00
ECE 5031,Semiconductor Process Technology,3.00
ECE 5033,Surfaces and Interfaces of Electronic Materials,3.00
ECE 5037,Solid State Electronics and Photonics Laboratory,4.00
ECE 5041,Electric Machines,3.00
ECE 5042,Power Systems,3.00
ECE 5043,Power Systems - Analysis and Operation,3.00
ECE 5047,High Voltage Engineering and Laboratory,3.00
ECE 5050,Humanitarian Engineering,3.00
ECE 5078,Empowering the Entrepreneurial Electrical and Computer Engineer,3.00
ECE 5101,Introduction to Wireless Networking,3.00
ECE 5120,Introduction to Integrated Circuits Test and Measurement,3.00
ECE 5127,Power Electronics Lab,1.00
ECE 5131,Lasers,3.00
