Course_Number,Course_Title,Credit_Hours
MECHENG 2010,Statics,2.00
MECHENG 2010H,Statics,2.00
MECHENG 2020,Introduction to Mechanics of Materials,3.00
MECHENG 2030,Dynamics,3.00
MECHENG 2040,Statics and Introduction to Mechanics of Materials,4.00
MECHENG 2193,Individual Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 2194,Group Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 2194H,Group Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 2850.01,Numerical Methods in Mechanical Engineering,3.00
MECHENG 2850.02,Numerical Methods in Mechanical Engineering,3.00
MECHENG 2900,Introduction to Design in Mechanical Engineering,3.00
MECHENG 3260,System Dynamics and Vibrations,3.00
MECHENG 3360,System Integration and Control,3.00
MECHENG 3500,Engineering Thermal Sciences,3.00
MECHENG 3501,Introduction to Engineering Thermodynamics,3.00
MECHENG 3503,Introduction to Fluid Mechanics,3.00
MECHENG 3670,Design and Analysis of Machine Elements I,2.00
MECHENG 3671,Design and Analysis of Machine Elements II,3.00
MECHENG 3751,Kinematics and Mechanism Design,2.00
MECHENG 3870,Introduction to Measurements and Data Analysis in Mechanical Engineering,3.00
MECHENG 4193.01,Individual Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 4193.02,Individual Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 4194,Group Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 4194H,Group Studies in Mechanical Engineering,1.00 - 5.00
MECHENG 4505,Introduction to Nuclear Science and Engineering,3.00
MECHENG 4510,Heat Transfer,3.00
MECHENG 4536,Nuclear Reactor Systems,3.00
MECHENG 4870,Multidisciplinary Mechanical Engineering Laboratory,2.00
MECHENG 4901.01,ME Capstone Design I: General Projects,2.50
MECHENG 4902.01,ME Capstone Design I: Student Design Competitions,2.50
MECHENG 4902.02,ME Capstone Design II: Student Design Competitions,2.50
MECHENG 4903.01,ME Capstone Design I: Industry Projects,2.50
MECHENG 4903.02,ME Capstone Design II: Industry Projects,2.50
MECHENG 4904.01,ME Capstone Design I: Humanitarian Projects,2.50
MECHENG 4904.02,ME Capstone Design II: Humanitarian Projects,2.50
MECHENG 4905.01,ME Capstone Design I: Assistive Devices,2.50
MECHENG 4905.02,ME Capstone Design II: Assistive Devices,2.50
MECHENG 4906.01,ME Capstone Design I: Product Design Capstone,2.50
