Course_Number,Course_Title,Credit_Hours
BIOMEDE 2000,Introduction to Biomedical Engineering,3.00
BIOMEDE 2001,Professional Development,1.00
BIOMEDE 2193,Individual Studies in Biomedical Engineering,1.00 - 12.00
BIOMEDE 2194,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 2200,Quantitative Principles of Cellular and Molecular Systems,3.00
BIOMEDE 2700,Numerical Simulations in BME,2.00
BIOMEDE 2800,Anatomy for Engineers,3.00
BIOMEDE 3701,Biomedical Engineering Domain Lab,2.00
BIOMEDE 3702,Measurements and Instrumentation Lab,3.00
BIOMEDE 3703,Quantitative Physiology,3.00
BIOMEDE 4001,Clinical Preceptorship in BME,3.00
BIOMEDE 4110,Bioimaging,3.00
BIOMEDE 4193,Individual Studies in Biomedical Engineering,1.00 - 12.00
BIOMEDE 4194,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 4210,Biotransport,3.00
BIOMEDE 4310,Biomaterials,3.00
BIOMEDE 4410,Biomechanics,3.00
BIOMEDE 4510,"Cell, Molecular, and Tissue Engineering",3.00
BIOMEDE 4610,Biomedical Micro/Nanotechnology,3.00
BIOMEDE 4711,Bioimaging Lab,0.50
BIOMEDE 4712,Biotransport Lab,0.50
BIOMEDE 4713,Biomaterials Lab,0.50
BIOMEDE 4714,Biomechanics Lab,0.50
BIOMEDE 4715,"Molecular, Cell, and Tissue Engineering Lab",0.50
BIOMEDE 4716,BME Micro/Nanotechnology Lab,0.50
BIOMEDE 4901,Biomedical Engineering Capstone Design I,3.00
BIOMEDE 4901.01,General BME Capstone I,3.00
BIOMEDE 4901.02,Industry BME Capstone I,3.00
BIOMEDE 4901.03,Medical Product Development Capstone I,3.00
BIOMEDE 4902,Biomedical Engineering Capstone Design II,3.00
BIOMEDE 4902.01,General BME Capstone II,3.00
BIOMEDE 4902.02,Industry BME Capstone II,3.00
BIOMEDE 4902.03,Medical Product Development Capstone II,3.00
BIOMEDE 4998.01,Undergraduate Research in Biomedical Engineering,1.00 - 6.00
BIOMEDE 4998.02,Undergraduate Research in Biomedical Engineering,1.00 - 12.00
