Course_Number,Course_Title,Credit_Hours
MATSCEN 2010,Introduction to Engineering Materials,3.00
MATSCEN 2193,Individual Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 2194,Group Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 2241,Structure and Characterization of Materials,3.00
MATSCEN 2251,Thermodynamics of Materials,3.00
MATSCEN 2321,Modeling and Simulation Lab I,3.00
MATSCEN 2331,Structure and Characterization Lab,2.00
MATSCEN 3141,Transformation and Processing of Materials,3.00
MATSCEN 3151,Transport Phenomena and Kinetics,3.00
MATSCEN 3189,Professional Practice in Industry,0.50 - 3.00
MATSCEN 3193.01,Individual Studies in Materials Science & Engineering,0.50 - 6.00
MATSCEN 3193.02,Individual Studies in Materials Science & Engineering,0.50 - 6.00
MATSCEN 3261,Introduction to the Mechanical Behavior of Materials,3.00
MATSCEN 3271,Electronic Properties,3.00
MATSCEN 3321,Modeling and Simulation Lab II,2.00
MATSCEN 3331,Materials Science and Engineering Lab I,2.00
MATSCEN 3332,Materials Science and Engineering Lab II,2.00
MATSCEN 3333,Materials Science and Engineering Laboratory for Welding Engineering Students,2.00
MATSCEN 3611,Biological Response to Biomaterials,3.00
MATSCEN 4181,Materials Selection,2.00
MATSCEN 4193.01,Individual Studies in Materials Science & Engineering,0.50 - 6.00
MATSCEN 4193.02,Individual Studies in Materials Science & Engineering,0.50 - 6.00
MATSCEN 4194,Group Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 4321,Modeling and Simulation-Based Design,3.00
MATSCEN 4381.01,Design and Professional Practice I,3.00
MATSCEN 4381.02,"Design and Professional Practice I, Biomedical",3.00
MATSCEN 4382.01,Design and Professional Practice II,3.00
MATSCEN 4382.02,"Design and Professional Practice II, Biomedical",3.00
MATSCEN 4891,Junior Seminar I,1.00
MATSCEN 4892,Junior Seminar II,1.00
MATSCEN 4998,Undergraduate Research,0.50 - 3.00
MATSCEN 4999,Undergraduate Research,0.50 - 3.00
MATSCEN 4999H,Undergraduate Honors Research,0.50 - 3.00
MATSCEN 5193.01,Individual Studies in Materials Science & Engineering,0.00 - 6.00
MATSCEN 5193.02,Individual Studies in Materials Science & Engineering,0.00 - 6.00
MATSCEN 5194,Group Studies in Materials Science & Engineering,0.00 - 6.00
MATSCEN 5237,Photovoltaics Laboratory,4.00
MATSCEN 5321,Computational Thermodynamics and Kinetics,2.00
MATSCEN 5431,Advanced Metals Laboratory,1.00
MATSCEN 5441,Physical Metallurgy,3.00
MATSCEN 5451,Molten Metal Processing,3.00
MATSCEN 5531,Ceramics Processing Laboratory,1.00
MATSCEN 5532,"Electronic, Optical, and Magnetic Properties Laboratory",1.00
MATSCEN 5541,Structure and Properties of Amorphous Materials,3.00
MATSCEN 5551,Ceramic Processing,3.00
MATSCEN 5552,Nanoscale Synthesis and Processing of Electronic Materials,3.00
MATSCEN 5571,Electroceramics,3.00
MATSCEN 5571.71,Electroceramics I: Electronic and Ionic Conductors,1.50
MATSCEN 5571.72,"Electroceramics II: Dielectric, Magnetic, and Optical Ceramics",1.50
MATSCEN 5572,Materials for Energy Technology,3.00
MATSCEN 5575,Ultrafast Laser Materials Processing,3.00
MATSCEN 5605,Quantitative Introduction to Materials Science,3.00
MATSCEN 5611,Materials in Medicine,3.00
MATSCEN 5631,Biomaterials Laboratory,1.00
MATSCEN 5641,Structure-Property Relationships of Polymers,3.00
MATSCEN 5651,Biomaterials Processing,3.00
MATSCEN 5655,Biomedical Device Additive Manufacturing,3.00
MATSCEN 5711.70,Introduction to Composites,1.50
MATSCEN 5761.71,Mechanical Behavior of Crystalline Solids at Lower Temperature,1.50
MATSCEN 5761.72,Mechanical Behavior of Crystalline Solids at High Temperatures,1.50
MATSCEN 5762,Mechanical Behavior and Deformation Mechanisms of Noncrystalline Solids,3.00
MATSCEN 5763.70,Fracture and Fatigue of Engineering Materials,1.50
MATSCEN 5774,Polymer Membranes,3.00
MATSCEN 5951,Corrosion,3.00
MATSCEN 5952,Failure Analysis of Materials,3.00
MATSCEN 5971,Solid State Science,3.00
MATSCEN 6193.01,Individual Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 6193.02,Individual Studies in Materials Science & Engineering,0.00 - 6.00
MATSCEN 6194,Group Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 6295,Superconducting Materials and Properties,2.00
MATSCEN 6700,Essentials of Materials Science for High School Educators,2.00
MATSCEN 6715,Principles of the Characterization of Materials,2.00
MATSCEN 6730,Thermodynamics of Materials,3.00
MATSCEN 6735,Corrosion Science and Materials Electrochemistry,2.00
MATSCEN 6737,Diffusion and Interface Kinetics,3.00
MATSCEN 6740,Practical Scanning Electron Microscopy Laboratory,2.00
MATSCEN 6741,Practical Transmission Electron Microscopy Lab,2.00
MATSCEN 6747,Structure and Defects in Materials,3.00
MATSCEN 6750,Nuclear Materials and Irradiation Effects in Materials,2.00
MATSCEN 6756,Computational Materials Modeling,2.00
MATSCEN 6756.71,Computational Materials Modeling - Continuum Scale,1.00
MATSCEN 6756.72,Computational Materials Modeling - Atomic Scale,1.00
MATSCEN 6757,Advanced Metallic Materials and Processing,2.00
MATSCEN 6765,Mechanical Behavior of Materials,3.00
MATSCEN 6777,Electronic Properties of Materials,2.00
MATSCEN 6778,Magnetic Materials,2.00
MATSCEN 6999,Graduate Research in Materials Science and Engineering,0.50 - 18.00
MATSCEN 7193.01,Individual Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 7193.02,Individual Studies in Materials Science & Engineering,0.00 - 6.00
MATSCEN 7194,Group Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 7531,Epitaxial Heterostructures,2.00
MATSCEN 7575,Ultrafast Laser Materials Processing,3.00
MATSCEN 7818,Advanced Topics in Corrosion Science,2.00
MATSCEN 7835,Point Defects in Crystalline Materials,2.00
MATSCEN 7845,Solid Surfaces and Interfaces,2.00
MATSCEN 7850,Structural Transformations,2.00
MATSCEN 7855,"Electron Diffraction, Imaging and Spectroscopies",2.00
MATSCEN 7861,Plasticity,2.00
MATSCEN 7862,Microstructural Elasticity,2.00
MATSCEN 7895,Graduate Seminar in Materials Science and Engineering,1.00
MATSCEN 8000,MSE PhD Dissertation Overview,1.00
MATSCEN 8193.01,Individual Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 8193.02,Individual Studies in Materials Science & Engineering,0.00 - 6.00
MATSCEN 8194,Group Studies in Materials Science and Engineering,0.00 - 6.00
MATSCEN 8999,Graduate Research in Materials Science and Engineering,0.50 - 18.00
WELDENG 2001,Introduction to Welding Engineering,3.00
WELDENG 2601,Introductory Arc Welding Laboratory,1.00
WELDENG 3193.01,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 3193.02,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 4001,Physical Principles in Welding Processes I,4.00
WELDENG 4002,Physical Principles in Welding Processes II,4.00
WELDENG 4003,Principles of Welding Process Control,3.00
WELDENG 4012,Resistance Welding Processes,3.00
WELDENG 4021,Solid-State Welding/Joining,3.00
WELDENG 4023,Brazing and Soldering,3.00
WELDENG 4024,High Energy Density Welding Processes,2.00
WELDENG 4101,Welding Metallurgy I,4.00
WELDENG 4102,Welding Metallurgy II,4.00
WELDENG 4112,Weldability,3.00
WELDENG 4115,Computational Modeling of Additive Manufacturing and Welding,3.00
WELDENG 4121,Computational Thermodynamics and Kinetics,2.00
WELDENG 4189,Industrial Experience,1.00
WELDENG 4193.01,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 4193.02,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 4194,Group Studies in Welding Engineering,1.00 - 4.00
WELDENG 4201,Engineering Analysis for Design and Simulation,4.00
WELDENG 4202,Welding Design,3.00
WELDENG 4240,Fitness-for-Service of Welded Structures,2.00
WELDENG 4301,Nondestructive Evaluation,3.00
WELDENG 4303,Ultrasonic Nondestructive Testing,3.00
WELDENG 4406,Welding of Plastics and Composites,3.00
WELDENG 4407,Adhesive Bonding and Mechanical Joining of Plastics,2.00
WELDENG 4595,Topics in Welding Engineering,1.00
WELDENG 4602,Welding Procedure Development and Qualification,3.00
WELDENG 4606,Welding Robot Programming and Operations,1.00
WELDENG 4901,Capstone Welding Design I,2.00
WELDENG 4902,Capstone Welding Design II,3.00
WELDENG 4998,Undergraduate Research in Welding Engineering,1.00 - 3.00
WELDENG 4999,Undergraduate Research,0.50 - 3.00
WELDENG 4999H,Undergraduate Honors Research in Welding Engineering,1.00 - 3.00
WELDENG 5027,Introduction to Additive Manufacturing,3.00
WELDENG 5038,Introduction to Ultrasonics - With Applications,3.00
WELDENG 5193.01,Individual Studies in Welding Engineering,0.00 - 6.00
WELDENG 5193.02,Individual Study in Welding Engineering,0.50 - 6.00
WELDENG 6193.01,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 6193.02,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 6194,Group Studies in Welding Engineering,1.00 - 4.00
WELDENG 6999,Graduate Research in Welding Engineering,0.50 - 18.00
WELDENG 7001,Physical Principles in Welding Processes I,3.00
WELDENG 7002,Physical Principles of Welding Processes II,3.00
WELDENG 7003,Principles of Welding Process Control,3.00
WELDENG 7012,Resistance Welding Processes,3.00
WELDENG 7021,Solid-State Welding/Joining,3.00
WELDENG 7023,Brazing and Soldering,3.00
WELDENG 7024,High Energy Density Welding Processes,2.00
WELDENG 7101,Welding Metallurgy I,3.00
WELDENG 7102,Welding Metallurgy II,3.00
WELDENG 7112,Weldability,3.00
WELDENG 7115,Computational Modeling of Additive Manufacturing and Welding (Grad),3.00
WELDENG 7121,Computational Thermodynamics and Kinetics,2.00
WELDENG 7123,Advanced Metallurgy for Brazing and Soldering,3.00
WELDENG 7193.01,Individual Studies in Welding Engineering,0.50 - 6.00
